name,kana,lat,lng,closed
藤山,ふじやま,43.88708,141.720588,1
大和田,おおわだ,43.913418,141.696528,1
留萌,るもい,43.942848,141.651433,1
瀬越,せごし,43.934987,141.634535,1
礼受,れうけ,43.904871,141.611358,1
阿分,あふん,43.894339,141.605598,1
信砂,のぶしゃ,43.874479,141.589039,1
舎熊,しゃぐま,43.869113,141.580068,1
朱文別,しゅもんべつ,43.860678,141.564328,1
箸別,はしべつ,43.859125,141.55164,1
増毛,ましけ,43.856522,141.527559,1
神楽岡,かぐらおか,43.745033,142.358257,0
緑が丘,みどりがおか,43.731074,142.365701,0
西御料,にしごりょう,43.720834,142.371507,0
西瑞穂,にしみずほ,43.70242,142.381982,0
西神楽,にしかぐら,43.682181,142.393677,0
西聖和,にしせいわ,43.669047,142.415209,0
千代ヶ岡,ちよがおか,43.643737,142.451024,0
北美瑛,きたびえい,43.617884,142.479594,0
美瑛,びえい,43.591186,142.461639,0
美馬牛,びばうし,43.537408,142.447192,0
上富良野,かみふらの,43.464046,142.468761,0
西中,にしなか,43.429569,142.441876,0
ラベンダー畑,らべんだーばたけ,43.416919,142.430681,0
中富良野,なかふらの,43.405704,142.420812,0
鹿討,しかうち,43.387499,142.404812,0
学田,がくでん,43.366234,142.386118,0
旭川四条,あさひかわよじょう,43.764056,142.375815,0
新旭川,しんあさひかわ,43.780174,142.384789,0
永山,ながやま,43.814158,142.434382,0
北永山,きたながやま,43.826736,142.454493,0
南比布,みなみぴっぷ,43.853342,142.467271,1
比布,ぴっぷ,43.874478,142.471294,0
北比布,きたぴっぷ,43.901728,142.476545,1
蘭留,らんる,43.925072,142.473699,0
塩狩,しおかり,43.96794,142.4552,0
和寒,わっさむ,44.026932,142.415309,0
東六線,ひがしろくせん,44.068723,142.388073,1
剣淵,けんぶち,44.09643,142.364754,0
北剣淵,きたけんぶち,44.139423,142.377955,1
士別,しべつ,44.172536,142.388247,0
下士別,しもしべつ,44.210583,142.396405,1
多寄,たよろ,44.241296,142.396315,0
瑞穂,みずほ,44.266349,142.396244,0
風連,ふうれん,44.292238,142.421624,0
名寄高校,なよろこうこう,44.331382,142.465484,0
名寄,なよろ,44.349403,142.465207,0
日進,にっしん,44.381713,142.467354,0
北星,ほくせい,44.441569,142.428116,1
智恵文,ちえぶん,44.455553,142.414772,0
智北,ちほく,44.46103,142.394007,0
南美深,みなみびふか,44.462604,142.367822,1
美深,びふか,44.482951,142.350597,0
初野,はつの,44.512808,142.336129,1
紋穂内,もんぽない,44.538761,142.33357,1
恩根内,おんねない,44.598486,142.309447,1
豊清水,とよしみず,44.639503,142.270342,1
天塩川温泉,てしおがわおんせん,44.665041,142.258682,0
咲来,さっくる,44.692702,142.267569,0
音威子府,おといねっぷ,44.729448,142.259883,0
筬島,おさしま,44.738883,142.197777,0
佐久,さく,44.743986,142.048562,0
天塩中川,てしおなかがわ,44.81186,142.075335,0
歌内,うたない,44.880493,142.052162,1
問寒別,といかんべつ,44.91233,142.025562,0
糠南,ぬかなん,44.920778,142.000931,0
雄信内,おのっぷない,44.911735,141.935888,1
